FID IID
3749848 3749848
3754145 3754145
3758924 3758924
3769330 3769330
3788964 3788964
3792711 3792711
3794121 3794121
3802872 3802872
3808689 3808689
3820353 3820353
3828698 3828698
3833800 3833800
3840122 3840122
3843489 3843489
3845523 3845523
3866235 3866235
3875764 3875764
3893557 3893557
3899836 3899836
3917807 3917807
3941143 3941143
3989695 3989695
3999630 3999630
4028123 4028123
4034357 4034357
4052542 4052542
4053893 4053893
4080438 4080438
4085774 4085774
4098147 4098147
4100018 4100018
4103591 4103591
4108106 4108106
4130551 4130551
4137470 4137470
4151239 4151239
4160489 4160489
4163342 4163342
4182802 4182802
4208947 4208947
4211295 4211295
4255845 4255845
4264078 4264078
4267804 4267804
4268420 4268420
4289858 4289858
4298615 4298615
4300204 4300204
4316164 4316164
4320676 4320676
4321377 4321377
4350452 4350452
4372178 4372178
4407940 4407940
4420049 4420049
4426235 4426235
4429991 4429991
4456425 4456425
4467652 4467652
4472551 4472551
4484844 4484844
4514368 4514368
4525602 4525602
4528972 4528972
4552523 4552523
4570203 4570203
4582975 4582975
4590835 4590835
4598247 4598247
4599527 4599527
4602747 4602747
4607281 4607281
4619592 4619592
4624645 4624645
4625982 4625982
4665374 4665374
4721122 4721122
4751196 4751196
4780175 4780175
4787668 4787668
4794364 4794364
4835938 4835938
4854790 4854790
4860686 4860686
4865957 4865957
4911634 4911634
4922758 4922758
4927629 4927629
4942445 4942445
4963032 4963032
4979925 4979925
4990567 4990567
5004246 5004246
5013572 5013572
5017718 5017718
5039636 5039636
5052834 5052834
5076199 5076199
5090707 5090707
5105181 5105181
5107858 5107858
5127390 5127390
5166296 5166296
5186074 5186074
5222133 5222133
5224439 5224439
5239808 5239808
5256117 5256117
5314827 5314827
5341219 5341219
5357573 5357573
5384340 5384340
5398756 5398756
5465416 5465416
5474071 5474071
5493408 5493408
5495712 5495712
5524748 5524748
5656834 5656834
5672591 5672591
5673320 5673320
5839279 5839279
5885977 5885977
5890967 5890967
5976401 5976401
1007941 1007941
1103241 1103241
1134111 1134111
1229321 1229321
1275945 1275945
1287758 1287758
1372612 1372612
1391735 1391735
1436813 1436813
1486844 1486844
1519324 1519324
1562986 1562986
1594354 1594354
1599097 1599097
1703248 1703248
1735141 1735141
1741661 1741661
1800419 1800419
1922470 1922470
2294059 2294059
2318755 2318755
2337423 2337423
2351389 2351389
2372424 2372424
2383683 2383683
2494017 2494017
2502571 2502571
2505196 2505196
2616478 2616478
2616576 2616576
2795800 2795800
3009724 3009724
3052062 3052062
3082222 3082222
3093958 3093958
3095440 3095440
3497397 3497397
3615948 3615948
3775291 3775291
3910496 3910496
4145364 4145364
4226894 4226894
4328247 4328247
4385309 4385309
4646352 4646352
5910266 5910266
1524073 1524073
1669767 1669767
1694093 1694093
