FID IID
1987338 1987338
1992646 1992646
1995017 1995017
2009644 2009644
2015176 2015176
2021589 2021589
2021814 2021814
2022515 2022515
2025878 2025878
2026828 2026828
2026869 2026869
2027749 2027749
2029587 2029587
2033608 2033608
2034887 2034887
2039336 2039336
2041343 2041343
2042189 2042189
2049588 2049588
2049725 2049725
2050278 2050278
2052771 2052771
2060267 2060267
2060982 2060982
2069013 2069013
2071714 2071714
2080040 2080040
2080621 2080621
2081522 2081522
2083355 2083355
2090616 2090616
2092585 2092585
2094601 2094601
2094992 2094992
2098182 2098182
2105663 2105663
2106304 2106304
2107103 2107103
2110865 2110865
2115245 2115245
2121443 2121443
2128698 2128698
2133824 2133824
2140064 2140064
2143554 2143554
2147332 2147332
2147795 2147795
2149103 2149103
2149467 2149467
2153469 2153469
2159214 2159214
2161082 2161082
2161770 2161770
2162564 2162564
2164339 2164339
2170382 2170382
2170738 2170738
2170824 2170824
2171420 2171420
2175442 2175442
2176882 2176882
2176903 2176903
2177760 2177760
2180875 2180875
2183717 2183717
2184556 2184556
2185662 2185662
2188448 2188448
2190550 2190550
2191274 2191274
2192544 2192544
2194768 2194768
2195925 2195925
2199872 2199872
2205799 2205799
2206598 2206598
2207633 2207633
2217509 2217509
2217649 2217649
2218252 2218252
2218738 2218738
2219317 2219317
2223872 2223872
2225292 2225292
2225569 2225569
2226294 2226294
2229652 2229652
2237663 2237663
2241231 2241231
2241938 2241938
2245571 2245571
2248384 2248384
2249428 2249428
2249708 2249708
2253614 2253614
2253673 2253673
2261865 2261865
2262825 2262825
2266024 2266024
2266876 2266876
2267005 2267005
2272004 2272004
2281274 2281274
2281915 2281915
2289799 2289799
2294378 2294378
2297115 2297115
2300665 2300665
2303325 2303325
2307372 2307372
2314105 2314105
2322335 2322335
2324727 2324727
2325148 2325148
2325452 2325452
2330388 2330388
2335578 2335578
2335673 2335673
2336743 2336743
2337680 2337680
2337710 2337710
2338247 2338247
2338475 2338475
2339421 2339421
2344585 2344585
2347053 2347053
2350593 2350593
2351792 2351792
2356809 2356809
2357909 2357909
2362592 2362592
2363458 2363458
2364736 2364736
2367682 2367682
2368531 2368531
2372279 2372279
2373887 2373887
2375823 2375823
2377755 2377755
2377854 2377854
2380547 2380547
2380957 2380957
2382317 2382317
2382976 2382976
2394016 2394016
2396670 2396670
2396976 2396976
2397321 2397321
2400562 2400562
2400940 2400940
2401881 2401881
2403276 2403276
2408517 2408517
2411477 2411477
2414020 2414020
2414059 2414059
2416620 2416620
2416895 2416895
2426351 2426351
2428106 2428106
2430375 2430375
2434281 2434281
2434459 2434459
2434860 2434860
2437593 2437593
2439779 2439779
2443236 2443236
2445536 2445536
2449801 2449801
2450423 2450423
2450776 2450776
2451278 2451278
2452721 2452721
2455374 2455374
2456008 2456008
2458759 2458759
2467009 2467009
2475732 2475732
2476058 2476058
2478131 2478131
2478564 2478564
2479020 2479020
2482196 2482196
2483662 2483662
2494735 2494735
2494834 2494834
2499426 2499426
2515887 2515887
2518133 2518133
2522731 2522731
2522829 2522829
2522922 2522922
2528629 2528629
2530353 2530353
2539769 2539769
2543243 2543243
2545916 2545916
2547005 2547005
2558498 2558498
2560229 2560229
2560827 2560827
2566038 2566038
2567374 2567374
2567895 2567895
2574301 2574301
2575288 2575288
2577406 2577406
2581207 2581207
2581496 2581496
2584181 2584181
2584448 2584448
2586043 2586043
2587607 2587607
2589617 2589617
2598785 2598785
2603648 2603648
2604460 2604460
2606134 2606134
2608525 2608525
2608542 2608542
2613080 2613080
2614247 2614247
2615243 2615243
2616621 2616621
2620808 2620808
2623041 2623041
2624494 2624494
2626019 2626019
2630812 2630812
2634498 2634498
2641742 2641742
2646731 2646731
2647755 2647755
2650754 2650754
2652668 2652668
2653195 2653195
2660611 2660611
2662206 2662206
2662214 2662214
2662251 2662251
2663431 2663431
2665907 2665907
2666432 2666432
2669624 2669624
2669655 2669655
2671576 2671576
2671859 2671859
2674055 2674055
2675347 2675347
2675826 2675826
2676316 2676316
2680216 2680216
2680593 2680593
2684617 2684617
2685985 2685985
2686433 2686433
2689387 2689387
2690251 2690251
2692168 2692168
2693991 2693991
2696973 2696973
2698171 2698171
2698508 2698508
2710462 2710462
2713977 2713977
2718991 2718991
2722622 2722622
2727555 2727555
2730407 2730407
2734423 2734423
2737955 2737955
2741060 2741060
2741541 2741541
2754132 2754132
2756050 2756050
2759003 2759003
2759283 2759283
2760638 2760638
2761912 2761912
2763131 2763131
2765491 2765491
2772582 2772582
2774893 2774893
2774904 2774904
2774996 2774996
2775471 2775471
2775598 2775598
2781094 2781094
2783777 2783777
2783919 2783919
2786661 2786661
2788195 2788195
2789146 2789146
2792537 2792537
2796166 2796166
2798386 2798386
2802157 2802157
2803346 2803346
2804305 2804305
2809317 2809317
2809879 2809879
2812159 2812159
2817220 2817220
2817857 2817857
2822528 2822528
2823776 2823776
2823881 2823881
2826866 2826866
2827711 2827711
2835399 2835399
2837137 2837137
2841749 2841749
2847264 2847264
2849762 2849762
2852514 2852514
2853064 2853064
2854676 2854676
2856200 2856200
2856992 2856992
2859581 2859581
2864703 2864703
2865867 2865867
2868577 2868577
2873254 2873254
2877139 2877139
2881382 2881382
2892432 2892432
2894298 2894298
2900464 2900464
2905096 2905096
2908092 2908092
2911035 2911035
2913421 2913421
2914935 2914935
2921677 2921677
2923963 2923963
2929135 2929135
2929616 2929616
2933650 2933650
2936459 2936459
2937532 2937532
2939461 2939461
2943080 2943080
2944178 2944178
2945051 2945051
2947713 2947713
2951024 2951024
2960950 2960950
2962785 2962785
2965475 2965475
2965730 2965730
2968206 2968206
2981124 2981124
2981519 2981519
2993558 2993558
2995916 2995916
3001083 3001083
3007624 3007624
3011081 3011081
3011439 3011439
3012999 3012999
3020721 3020721
3022261 3022261
3023344 3023344
3024986 3024986
3027757 3027757
3028632 3028632
3031257 3031257
3036667 3036667
3039558 3039558
3039895 3039895
3041013 3041013
3041290 3041290
3041854 3041854
3042686 3042686
3043667 3043667
3047810 3047810
3048476 3048476
3049508 3049508
3055954 3055954
3058913 3058913
3061321 3061321
3062779 3062779
3064381 3064381
3065472 3065472
3068050 3068050
3069357 3069357
3072931 3072931
3075661 3075661
3076203 3076203
3083014 3083014
3083088 3083088
