FID IID
3995678 3995678
3996577 3996577
3997264 3997264
3997816 3997816
4003052 4003052
4016818 4016818
4024164 4024164
4033723 4033723
4041742 4041742
4042016 4042016
4052393 4052393
4054428 4054428
4054731 4054731
4054870 4054870
4057473 4057473
4058806 4058806
4061042 4061042
4071273 4071273
4076087 4076087
4092308 4092308
4122098 4122098
4132510 4132510
4135059 4135059
4139921 4139921
4141240 4141240
4142486 4142486
4153352 4153352
4203103 4203103
4215564 4215564
4230863 4230863
4233687 4233687
4238522 4238522
4278695 4278695
4302149 4302149
4317907 4317907
4334640 4334640
4352485 4352485
4381761 4381761
4382288 4382288
4384144 4384144
4412934 4412934
4434076 4434076
4435026 4435026
4468871 4468871
4472026 4472026
4483282 4483282
4493647 4493647
4513716 4513716
4527822 4527822
4539025 4539025
4539226 4539226
4541532 4541532
4545943 4545943
4550704 4550704
4561230 4561230
4565656 4565656
4638687 4638687
4655873 4655873
4670606 4670606
4677513 4677513
4694211 4694211
4701261 4701261
4723795 4723795
4742249 4742249
4748575 4748575
4754393 4754393
4761852 4761852
4775838 4775838
4804102 4804102
4814881 4814881
4837035 4837035
4864290 4864290
4904160 4904160
4904727 4904727
4908560 4908560
4936427 4936427
4944156 4944156
4959906 4959906
4965460 4965460
4973885 4973885
5029485 5029485
5038065 5038065
5039159 5039159
5055600 5055600
5075014 5075014
5075049 5075049
5084082 5084082
5116804 5116804
5119658 5119658
5125582 5125582
5148716 5148716
5160947 5160947
5188280 5188280
5227296 5227296
5238170 5238170
5358345 5358345
5362829 5362829
5390161 5390161
5392392 5392392
5402838 5402838
5408992 5408992
5431940 5431940
5433133 5433133
5449183 5449183
5478125 5478125
5501551 5501551
5508206 5508206
5519421 5519421
5524809 5524809
5564629 5564629
5566510 5566510
5650535 5650535
5679515 5679515
5710961 5710961
5720822 5720822
5818059 5818059
5826707 5826707
5912171 5912171
5925295 5925295
5928410 5928410
5958465 5958465
5986030 5986030
6018801 6018801
1012161 1012161
1038485 1038485
1045483 1045483
1110417 1110417
1160749 1160749
1190923 1190923
1233689 1233689
1310020 1310020
1370195 1370195
1454777 1454777
1475252 1475252
1487694 1487694
1505767 1505767
1552089 1552089
1636973 1636973
1647280 1647280
1704785 1704785
1725255 1725255
1739522 1739522
1831836 1831836
1844210 1844210
1928471 1928471
1929798 1929798
1951396 1951396
2007063 2007063
2121918 2121918
2202217 2202217
2252274 2252274
2268745 2268745
2350517 2350517
2358055 2358055
2495570 2495570
2522051 2522051
2577337 2577337
2624457 2624457
2641252 2641252
2713636 2713636
2742894 2742894
2745955 2745955
3034883 3034883
3111960 3111960
3233386 3233386
3244450 3244450
3311138 3311138
3364464 3364464
3402911 3402911
3801759 3801759
3993896 3993896
4847119 4847119
4864447 4864447
1015974 1015974
1064372 1064372
1093545 1093545
1918334 1918334
2088069 2088069
3498813 3498813
1001985 1001985
1002041 1002041
1002119 1002119
1002597 1002597
1002673 1002673
1004555 1004555
1005233 1005233
1005458 1005458
1005599 1005599
1006671 1006671
1008698 1008698
1009272 1009272
1010290 1010290
1011312 1011312
1011321 1011321
1011845 1011845
1011931 1011931
1012006 1012006
1012544 1012544
1012563 1012563
1013395 1013395
1015627 1015627
1016555 1016555
1016682 1016682
1016750 1016750
1017054 1017054
1017255 1017255
1018324 1018324
1019075 1019075
1019725 1019725
1019904 1019904
1019971 1019971
1021181 1021181
1021455 1021455
1021886 1021886
1022026 1022026
1022530 1022530
1022551 1022551
1022848 1022848
1023146 1023146
1024485 1024485
1025299 1025299
1026105 1026105
1027169 1027169
1027593 1027593
1028406 1028406
1030749 1030749
1032797 1032797
1032810 1032810
1033649 1033649
1034703 1034703
1034752 1034752
1034776 1034776
1034819 1034819
1036252 1036252
1036573 1036573
1036635 1036635
1037101 1037101
1037820 1037820
1038166 1038166
1038846 1038846
1039202 1039202
1039849 1039849
1040130 1040130
1040644 1040644
1043153 1043153
1043331 1043331
1043527 1043527
